event_id,investigation_type,event_date,location,country,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition
20190826X31624,Accident,2019-08-25,"Cottonwood, AZ",United States,Non-Fatal,Substantial,Airplane,piper,PA28,No,1.0,Reciprocating,0.0,0.0,0.0,2.0,VMC
20190826X32626,Accident,2019-08-25,"Lancaster, CA",United States,Non-Fatal,Substantial,Airplane,scoda_aeronautical,Super Petrel,No,0.0,unknown,0.0,0.0,0.0,2.0,VMC
20190826X40754,Accident,2019-08-25,"Russiaville, IN",United States,Non-Fatal,Substantial,Airplane,piper,J3C,No,1.0,Reciprocating,0.0,0.0,0.0,2.0,VMC
20190826X43114,Accident,2019-08-25,"Bethany, OK",United States,Non-Fatal,Substantial,Airplane,cessna,425,No,2.0,Turbo Prop,0.0,0.0,0.0,1.0,VMC
20190826X55246,Accident,2019-08-25,"Shamokin, PA",United States,Non-Fatal,Substantial,Helicopter,hughes,269A,No,1.0,Reciprocating,0.0,0.0,0.0,2.0,VMC
20190826X65749,Accident,2019-08-25,"Wilkeson, WA",United States,Fatal,Substantial,Glider,glaser_dirks,DG 300 ELAN,No,0.0,unknown,1.0,0.0,0.0,0.0,VMC
20190826X90719,Accident,2019-08-25,"Inca, Mallorca, Spain",Spain,Fatal,Destroyed,Helicopter,bell,206,No,0.0,unknown,7.0,0.0,0.0,0.0,unknown
20190904X11153,Accident,2019-08-25,"GLENWOOD SPRINGS, CO",United States,Non-Fatal,Substantial,Airplane,cirrus,SR22,No,0.0,unknown,0.0,0.0,0.0,3.0,VMC
20190912X84736,Accident,2019-08-25,"Buriti Alegre, Brazil",Brazil,Fatal,Destroyed,Helicopter,robinson,R44,No,0.0,unknown,3.0,1.0,0.0,0.0,unknown
20190827X80311,Accident,2019-08-25,"Simplon Pass, Eswatini",Eswatini,Fatal,Destroyed,Airplane,piper,PA28RT,No,1.0,Reciprocating,3.0,0.0,0.0,0.0,unknown
20190826X12752,Accident,2019-08-26,"Santa Barbara, CA",United States,Non-Fatal,Substantial,Airplane,lockheed,C130,No,0.0,Turbo Prop,0.0,0.0,0.0,7.0,VMC
20190827X10947,Accident,2019-08-26,"Reno, NV",United States,Non-Fatal,Substantial,Airplane,mooney,M20C,No,1.0,Reciprocating,0.0,1.0,2.0,0.0,unknown
20190903X91327,Accident,2019-08-26,"Veracruz, Mexico",Mexico,Non-Fatal,unknown,Helicopter,robinson,R44,No,1.0,unknown,0.0,0.0,2.0,1.0,unknown
20190827X51852,Accident,2019-08-27,"Monroe, WI",United States,Non-Fatal,Substantial,Airplane,beech,35,Yes,1.0,Reciprocating,0.0,1.0,1.0,0.0,unknown
20190828X10040,Accident,2019-08-27,"Kenai, AK",United States,Non-Fatal,Substantial,Airplane,piper,PA18,No,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190828X75204,Accident,2019-08-27,"San Diego, CA",United States,Non-Fatal,Substantial,Helicopter,bell,206,No,1.0,Turbo Shaft,0.0,0.0,0.0,2.0,VMC
20190830X60449,Accident,2019-08-27,"Chicago, IL",United States,Non-Fatal,unknown,Airplane,mcdonnell_douglas,MD88,No,2.0,Turbo Jet,0.0,0.0,1.0,151.0,VMC
20190830X64106,Accident,2019-08-27,"Denver, CO",United States,Non-Fatal,unknown,Airplane,airbus,A320,No,2.0,Turbo Fan,0.0,0.0,1.0,0.0,VMC
20190911X62317,Accident,2019-08-27,"Azligarh, India",India,unknown,Destroyed,Airplane,cessna,560,No,0.0,unknown,0.0,0.0,0.0,0.0,unknown
20190913X83845,Accident,2019-08-27,"Beijing, China",China,Non-Fatal,Substantial,Airplane,airbus,A330,No,0.0,unknown,0.0,0.0,0.0,162.0,unknown
20190828X20449,Accident,2019-08-28,"McKenzie Bridge, OR",United States,Fatal,Destroyed,Airplane,cessna,172,No,1.0,Reciprocating,2.0,0.0,0.0,0.0,VMC
20190828X74159,Accident,2019-08-28,"North Las Vegas, NV",United States,Non-Fatal,Substantial,Helicopter,bell,47G,No,0.0,unknown,0.0,0.0,0.0,2.0,unknown
20190828X74813,Accident,2019-08-28,"Ashland, OR",United States,Non-Fatal,Substantial,Airplane,piper,PA32RT,No,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190829X05958,Accident,2019-08-29,"St. Ignatious, MT",United States,Fatal,Substantial,Airplane,beech,33,No,1.0,Reciprocating,3.0,0.0,0.0,0.0,VMC
20190829X34852,Accident,2019-08-29,"Olney, TX",United States,Non-Fatal,Substantial,Airplane,air_tractor,AT502,No,1.0,Turbo Prop,0.0,1.0,0.0,0.0,VMC
20190829X83853,Accident,2019-08-29,"Denver, CO",United States,Non-Fatal,Substantial,Airplane,cessna,172,No,1.0,Reciprocating,0.0,1.0,0.0,0.0,unknown
20190829X92028,Accident,2019-08-29,"Talkeetna, AK",United States,Non-Fatal,Substantial,Airplane,piper,PA-22-150,No,1.0,Reciprocating,0.0,0.0,0.0,2.0,VMC
20190905X05523,Incident,2019-08-29,"Merimbula, Australia",Australia,unknown,unknown,Airplane,saab,340,No,0.0,Turbo Prop,0.0,0.0,0.0,0.0,unknown
20190913X15235,Accident,2019-08-29,"Gusap, Papua New Guinea",Papua New Guinea,Fatal,Destroyed,Airplane,air_tractor,AT502,No,0.0,unknown,1.0,0.0,0.0,0.0,unknown
20190830X73100,Accident,2019-08-30,"Prescott, AZ",United States,Non-Fatal,Substantial,Airplane,luscombe,8,No,1.0,Reciprocating,0.0,0.0,0.0,2.0,VMC
20190830X73654,Accident,2019-08-30,"Murrieta, CA",United States,Non-Fatal,Substantial,Airplane,czech_sport,SPORTCRUISER,Yes,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190903X05611,Accident,2019-08-30,"Fairbanks, AK",United States,Non-Fatal,Substantial,Airplane,piper,PA-18,No,0.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190903X44536,Accident,2019-08-30,"Nampa, ID",United States,Non-Fatal,Substantial,Airplane,hall,Kitfox,Yes,1.0,Reciprocating,0.0,1.0,0.0,1.0,VMC
20200603X81031,Accident,2019-08-30,"Arctic Village, AK",United States,Non-Fatal,Substantial,Airplane,piper,PA22,No,1.0,Reciprocating,0.0,1.0,0.0,1.0,VMC
20190831X32452,Accident,2019-08-31,"El Monte, CA",United States,Non-Fatal,Substantial,Airplane,cessna,510,No,0.0,Turbo Fan,0.0,2.0,0.0,0.0,VMC
20190902X23852,Accident,2019-08-31,"Conroe, TX",United States,Non-Fatal,Substantial,Airplane,piper,PA28,No,1.0,Reciprocating,0.0,2.0,0.0,0.0,VMC
20190904X60022,Accident,2019-08-31,"Convington, TN",United States,Non-Fatal,Substantial,Airplane,diamond,DA20,No,1.0,Reciprocating,0.0,0.0,0.0,2.0,VMC
20190917X82433,Incident,2019-08-31,"Cape Town, South Africa",South Africa,Non-Fatal,unknown,Airplane,boeing,737,No,0.0,unknown,0.0,0.0,0.0,133.0,unknown
20191202X92851,Accident,2019-08-31,"Alta city, Norway",Norway,Fatal,Destroyed,Helicopter,airbus,A350,No,0.0,unknown,1.0,0.0,0.0,5.0,unknown
20190902X20500,Accident,2019-09-01,"Asotin, WA",United States,Non-Fatal,Substantial,Helicopter,hughes,369,No,1.0,unknown,0.0,0.0,0.0,2.0,unknown
20190902X51258,Accident,2019-09-01,"Bandera, WA",United States,Non-Fatal,Substantial,Airplane,stinson,108,No,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190903X95140,Accident,2019-09-01,"Foley, AL",United States,Non-Fatal,Substantial,Airplane,cirrus,SR22,No,1.0,Reciprocating,0.0,0.0,0.0,4.0,VMC
20190905X84147,Accident,2019-09-01,"Manchester, NH",United States,Non-Fatal,Substantial,Airplane,piper,PA 28-180,No,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190909X81218,Accident,2019-09-01,"Chickaloon, AK",United States,Non-Fatal,Substantial,Airplane,piper,PA 18,No,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20191008X25231,Accident,2019-09-01,"Calamba, Philippines",Philippines,Fatal,Destroyed,Airplane,beech,B300,No,0.0,unknown,9.0,0.0,0.0,0.0,unknown
20190902X32852,Accident,2019-09-02,"Taylor, TX",United States,Non-Fatal,Substantial,Airplane,piper,PA38,No,1.0,Reciprocating,0.0,0.0,0.0,2.0,VMC
20190902X33852,Accident,2019-09-02,"Mackinac Island, MI",United States,Non-Fatal,Substantial,Airplane,piper,PA32RT,No,1.0,Reciprocating,0.0,0.0,0.0,6.0,VMC
20190902X34852,Accident,2019-09-02,"Independence, MI",United States,Non-Fatal,Substantial,Airplane,piper,J3C,No,0.0,unknown,0.0,0.0,2.0,0.0,VMC
20190903X14713,Accident,2019-09-02,"Beluga, AK",United States,Non-Fatal,Substantial,Airplane,piper,PA18,No,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190903X80826,Accident,2019-09-02,"Russellville, AL",United States,Fatal,Destroyed,Airplane,weatherly,620,No,0.0,Reciprocating,1.0,0.0,0.0,0.0,VMC
20190903X83852,Accident,2019-09-02,"La Grange, TX",United States,Non-Fatal,Substantial,Airplane,cessna,172,No,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190913X55333,Accident,2019-09-02,"Branson, MO",United States,Non-Fatal,Substantial,Airplane,lancair,LC41-550FG,No,1.0,unknown,0.0,3.0,0.0,0.0,VMC
20190916X80750,Incident,2019-09-02,"Unknown, South Africa",South Africa,unknown,unknown,Airplane,boeing,737,No,0.0,unknown,0.0,0.0,0.0,0.0,unknown
20190923X61348,Accident,2019-09-02,"Tulsa, OK",United States,Non-Fatal,Substantial,Airplane,piper,PA60,No,2.0,Reciprocating,0.0,0.0,0.0,2.0,VMC
20190903X30852,Accident,2019-09-03,"Mack, CO",United States,Non-Fatal,Substantial,Airplane,jackson,Velocity,No,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190903X83853,Accident,2019-09-03,"Sawyer, MI",United States,Non-Fatal,Substantial,Airplane,piper,PA28,No,1.0,Reciprocating,0.0,0.0,0.0,2.0,VMC
20190904X83048,Accident,2019-09-03,"San Carlos, CA",United States,Non-Fatal,Substantial,Airplane,cessna,A185,No,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190912X20648,Accident,2019-09-03,"Girdwood, AK",United States,Non-Fatal,Substantial,Airplane,lake,LA-4-200,No,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190904X15204,Accident,2019-09-04,"LANCASTER, TX",United States,Non-Fatal,Substantial,Airplane,cessna,180,No,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190904X84400,Accident,2019-09-04,"Van Wert, OH",United States,Non-Fatal,Substantial,Airplane,phantom_aeronautics,X-1,No,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190905X13813,Accident,2019-09-04,"Henefer, UT",United States,Fatal,Substantial,Airplane,cessna,210,No,1.0,Reciprocating,2.0,0.0,0.0,0.0,VMC
20190911X54459,Accident,2019-09-04,"Winfield, AL",United States,Non-Fatal,Substantial,Airplane,piper,J3C,No,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20190905X00425,Accident,2019-09-05,"Charleston, WV",United States,Non-Fatal,Substantial,Airplane,cessna,182,No,1.0,Reciprocating,0.0,1.0,0.0,0.0,VMC
